Title,Director,Popularity
"Unnamable II, The Statement of Randolph Carter, The","Ouellette, Jean-Paul",36
"Trip, The","Corman, Roger",64
Ironweed,"Babenco, Hector",32
Kramer vs. Kramer,"Benton, Robert",8
Still of the Night,"Benton, Robert",42
Defending Your Life,"Brooks, Albert",75
"Deer Hunter, The","Cimino, Michael",82
Falling in Love,"Grosbard, Ulu",31
Heartburn,"Nichols, Mike",57
Silkwood,"Nichols, Mike",52
Sophie's Choice,"Pakula, Alan J.",64
Out of Africa,"Pollack, Sydney",88
"French Lieutenant's Woman, The","Reisz, Karel",37
Plenty,"Schepisi, Fred",9
A Cry in the Dark,"Schepisi, Fred",67
She-Devil,"Seidelman, Susan",43
Death Becomes Her,"Zemeckis, Robert",61
Kids & Pesticides,,36
On a Clear Day You Can See Forever,"Minnelli, Vincente",67
Nuts,"Ritt, Martin",52
Yentl,"Streisand, Barbra",46
Funny Girl,"Wyler, William",30
Fellow Traveller,"Towns, Philip Saville",39
Dodesukaden,"Kurosawa, Akira",75
"Sicilian, The","Cimino, Michael",41
So Ends Our Night,"Cromwell, John",2
Sword of the Valiant,"Weeks, Stephen",5
"Devil's Wanton, The","Bergman, Ingmar",66
Driving Miss Daisy,"Beresford, Bruce",6
"Seventh Cross, The",,35
Between Friends,"Antonio, Lou",54
Raintree County,"Dmytryk, Edward",74
"Driver's Seat, The","Griffi, Giuseppe Patroni",72
Reflections in a Golden Eye,"Huston, John",81
"X, Y & Zee","Hutton, Brian G.",87
Secret Ceremony,"Losey, Joseph",60
Cleopatra,"Mankiewicz, Joseph L.",80
Father of the Bride,"Minnelli, Vincente",54
Who's Afraid of Virginia Woolf?,"Nichols, Mike",82
A Little Night Music,"Prince, Harold",61
Giant,"Stevens, George",61
"Rumor Mill, The","Trikonis, Gus",62
Lassie Come Home,"Wilcox, Fred M",79
Return Engagement,,26
Hammersmith Is Out,,80
Super Duper Bloopers,,21
"Elizabeth Taylor Collection, The",,21
Ash Wednesday,,54
"Last Time I Saw Paris, The",,13
Cimarron,"Ruggles, Wesley",44
Apache Woman,"Corman, Roger",32
Gary Numan - Berzerker,,60
Mystic Pizza,"Petrie, Donald",74
Dogfight,"Savoca, Nancy",66
"Adventures of Rex & Rinty, The","Beebe, Ford",87
Daphnis & Chloe,"Wimhurst, Jolyon",85
Marathon,"Cooper, Jackie",76
Fort Apache,"Ford, John",4
Wee Willie Winkie,"Ford, John",78
Big Shots,"Mandel, Robert",5
Doin' Time on Planet Earth,"Matthau, Charles",44
All the Right Moves,"Chapman, Michael",65
Some Kind of Wonderful,"Deutch, Howard",16
"All New Tales from the Crypt, A Trilogy","Deutch, Howard",33
Back to the Future,"Zemeckis, Robert",9
Winter Light,"Bergman, Ingmar",2
"Silence, The","Bergman, Ingmar",79
"Magician, The","Bergman, Ingmar",3
"Four Horsemen of the Apocalypse, The","Minnelli, Vincente",71
Critical Condition,"Apted, Michael",41
Center of the Web,,42
Border Shootout,,7
Lean on Me,"Avildsen, John G.",51
On Wings of Eagles,"McLaglen, Andrew V.",53
Texas,"Marshall, George",79
Allegheny Uprising,"Seiter, William A.",53
Dark Command,"Walsh, Raoul",52
Peggy Sue Got Married,"Coppola, Francis Ford",62
"Dear America, Letters Home from Vietnam","Couturie, Bill",57
Prizzi's Honor,"Huston, John",25
"Man with Two Brains, The","Reiner, Carl",68
Crimes of Passion,"Russell, Ken",4
"Jewel of the Nile, The","Teague, Lewis",68
Romancing the Stone,"Zemeckis, Robert ",83
"Accidental Tourist, The",,56
"Sea Chase, The","Farrow, John",4
"Another Time, Another Place",,4
Cannibal Women in the Avocado Jungle of Death,"Lawton, J.F.",56
Mr Love.,"Battersby, Roy",10
2001: A Space Odyssey,"Kubrick, Stanley",83
Persona,"Bergman, Ingmar",81
Scenes from a Marriage,"Bergman, Ingmar",3
Hour of the Wolf,"Bergman, Ingmar",37
"Passion of Anna, The","Bergman, Ingmar",6
Dangerous Moves,"Dembo, Richard",7
Sayonara,"Logan, Joshua",19
Where Eagles Dare,"Hulton, Brian G.",57
Teen Wolf,"Daniel, Rod",58
Amazon,"Kaurismäki, Mika",30
"Paper Chase, The","Bridges, James",7
"Virgin Spring, The","Bergman, Ingmar",8
Spider's Stratagem,"Bertolucci, Bernardo",45
Play Misty for Me,"Eastwood, Clint",47
Going Ape,"Kronsberg, Jeremy Joe",65
Cool Hand Luke,"Rosenberg, Stuart",49
Phantom of the Ritz,"Plone, Allen",85
Crash & Burn,"Band, Charles",75
After Dark My Sweet,"Foley, James",33
Christopher Columbus: The Discovery,"Glen, John",39
Young Sherlock Holmes,"Levinson, Barry",16
Doc Hollywood,"Caton-Jones, Michael",64
Baja Oklahoma,"Roth, Bobby",71
Aliens,"Cameron, James",82
Alien Three,"Fincher, David",59
Alien: resurrection,"Jeunet, Jean-Pierre",60
Alien,"Scott, Ridley",83
One Woman or Two,"Vigne, Daniel",64
Soggy Bottom U. S. A.,"Flicker, Theodore J.",50
Bang the Drum Slowly,"Hancock, John D.",73
"Catamount Killing, The","Zanussi, Krzystoff",84
Fuzz,"Colla, Richard A.",37
"Shoot Loud, Louder, I Don't Understand!","De Filippo, Eduardo",70
Bedazzled,"Donen, Stanley",67
"Prince & the Pauper, The","Fleischer, Richard",86
One Hundred Rifles,"Gries, Tom",48
"Wild Party, The","Ivory, James",75
Bandolero!,"McLaglen, Andrew V.",9
"Last of Sheila, The","Ross, Herbert",39
Hannie Caulder,,9
Sounds of the Seventies...& the Beat Goes,,13
Bird,"Eastwood, Clint",24
Meet Millie,,82
Hell Comes to Frogtown,"Jackson, Donald G",74
"Fortune Cookie, The","Wilder, Billy",3
"Sun Shines Bright, The","Ford, John",46
"Squeeze, The","Apted, Michael",23
Start the Revolution Without Me,"Yorkin, Bud",62
Major League,"Ward, David S.",64
"Bright Lights, Big City","Bridges, James",30
"Lost Boys, The","Schumacher, Joel",67
Cookie,"Seidelman, Susan",43
"Conversation, The","Coppola, Francis Ford",59
American Graffiti,"Lucas, George",39
Dangerous When Wet,"Walters, Charles",67
Stir Crazy,"Poitier, Sidney",40
Young Einstein,"Serious, Yahoo",47
"Killing, The","Kubrick, Stanley",51
"Cahill, United States Marshal","McLaglen, Andrew V.",12
"Savage Intruder, The","Wolfe, Donald",24
"Sheltering Sky, The","Bertolucci, Bernardo",64
An Officer & a Gentleman,"Hackford, Taylor",1
Black Widow,"Rafelson, Bob",54
Legal Eagles,"Reitman, Ivan",39
Bloody Mama,"Corman, Roger",17
A Patch of Blue,"Green, Guy",51
I Died a Thousand Times,"Heisler, Stuart",23
Tentacles,"Hellman, Oliver",62
"Scalphunters, The","Pollack, Sydney",33
A Day in October,"Madsen, Kenneth",76
A Fistful of Dollars,"Leone, Sergio",61
My Science Project,"Betnel, Jonathan",84
"Great Race, The","Edwards, Blake",88
"Searchers, The","Ford, John",9
Meteor,"Neame, Ronald",5
Rebel Without a Cause,"Ray, Nicholas",82
West Side Story,"Wise, Robert",38
Trash,"Morrissey, Paul",68
A Big Hand for the Little Lady,"Cook, Fielder",12
A Fine Madness,"Kershner, Irvin",6
"Glass Menagerie, The","Newman, Paul",68
Harry & Son,"Newman, Paul",57
"Rachel, Rachel","Newman, Paul",32
Paris Blues,"Ritt, Martin",54
"Fugitive Kind, The",,3
Mr. & Mrs. Bridge,,29
State of Grace,"Joanou, Phil",49
Shadow of a Doubt,"Hitchcock, Alfred",32
"Men, The","Zinnemann, Fred",27
Stage Fright,"Hitchcock, Alfred",72
Magic Town,"Wellman, William",4
That Lucky Touch,"Miles, Christopher",85
Lust for Gold,"Simon, S. Sylvan",57
Heat,"Jameson, Jerry",69
Employee's Entrance,,0
Night Is My Future,"Bergman, Ingmar",17
"Witches, The","Roeg, Nicolas",18
Vera Cruz,"Aldrich, Robert",71
Apache,"Aldrich, Robert",78
Twilight's Last Gleaming,"Aldrich, Robert",84
"Frisco Kid, The","Aldrich, Robert",10
Bank on the Stars,"Allen, Craig",
Law of Desire,"Almodóvar, Pedro",73
"Quiller Memorandum, The","Anderson, Michael",34
"Longest Day, The","Annakin, Ken",7
"Name of the Rose, The","Annaud, Jean-Jacques",8
Bloodsport,"Arnold, Newt",78
Torment,"Aslanian, Samson",8
Pelle the Conqueror,"August, Bille",14
Taps,"Becker, Harold",84
"Freshman, The","Bergman, Andrew",32
"Last Emperor, The","Bertolucci, Bernardo",1
"Grim Reaper, The","Bertolucci, Bernardo",35
Le Dernier Combat,"Besson, Luc",72
Too Beautiful for You,"Blier, Bertrand",35
"Fire, Ice & Dynamite","Bogner, Willy",72
Heavens Above,"Boulting, John",38
One Eyed Jacks,"Brando, Marlon",26
"Swing It, Sailor!","Cannon, Raymond",83
"Wolf at the Door, The","Carlsen, Henning",68
Modern Times,"Chaplin, Charles",4
Thunderbolt & Lightfoot,"Cimino, Michael",16
A Nous la Liberte,"Clair, Rene",60
Scum,"Clarke, Alan",68
"Inside Man, The","Clegg, Tom",45
Apocalypse Now,"Coppola, Francis Ford",8
"Bellboy & the Playgirls, The","Coppola, Francis Ford",7
"Terror, The","Corman, Roger",88
"Raven, The","Corman, Roger",85
They Came from Within,"Cronenberg, David",21
"Boy in Blue, The","Dale, Cynthia",63
Killer Tomatoes Strike Back,"De Bello, John",24
Attack of the Killer Tomatoes,"De Bello, John",47
"Untouchables, The","De Palma, Brian",7
Wise Guys,"De Palma, Brian",16
American Autobahn,"Degas, Andre",75
"Final Alliance, The","Di Leo, Mario",10
"Bounty, The","Donaldson, Roger",25
"Little Prince, The","Donen, Stanley",31
Posse,"Douglas, Kirk",76
Firefox,"Eastwood, Clint",64
Penitentiary III,"Fanaka, Jamaa",82
Ginger & Fred,"Fellini, Federico",29
"Wrong Box, The","Forbes, Bryan",40
Wagonmaster,"Ford, John",1
They Were Expendable,"Ford, John",88
"Last Hurrah, The","Ford, John",46
Law of the Golden West,"Ford, Philip",1
Pioneer Marshal,"Ford, Philip",8
Ranger of the Cherokee Strip,"Ford, Philip",31
Vanishing Westerner,"Ford, Philip",6
Bandits of Dark Canyon,"Ford, Philip",72
"Bold Frontiersman, The","Ford, Philip",18
"Wild Frontier, The","Ford, Philip",61
"Firemen's Ball, The","Forman, Milos",8
Local Hero,"Forsyth, Bill",54
"French Connection, The","Friedkin, William",88
To Live & Die in L. A.,"Friedkin, William",70
Ferry to Hong Kong,"Gilbert, Lewis",77
"Eddie Murphy, Delirious","Gower, Bruce",6
"Secret Policeman's Private Parts, The","Graef, Roger",36
Up the Creek,"Guest, Val",54
Yol,"Guney, Yilmaz",53
Sara Dane,"Hardy, Rod",75
Night Tide,"Harrington, Curtis",50
His Majesty O'Keefe,"Haskin, Byron",3
North to Alaska,"Hathaway, Henry",31
Flight to Fury,"Hellman, Monte",70
Ride in the Whirlwind,"Hellman, Monte",26
Powderkeg,"Heyes, Douglas",26
I Confess,"Hitchcock, Alfred",63
"Thirty-Nine Steps, The","Hitchcock, Alfred",8
Topaz,"Hitchcock, Alfred",12
Murder,"Hitchcock, Alfred",50
Dial M for Murder,"Hitchcock, Alfred",52
Young & Innocent,"Hitchcock, Alfred",43
Creature from Black Lake,"Houck, Joy, Jr.",88
Chariots of Fire,"Hudson, Hugh",6
Monty Python Live at the Hollywood Bowl,"Hughes, Terry",81
"Man Who Would Be King, The","Huston, John",6
Victory,"Huston, John",39
Kelly's Heroes,"Hutton, Brian G.",84
Next of Kin,"Irvin, John",63
Chattahoochee,"Jackson, Mick",30
"Angelic Conversation, The","Jarman, Derek",41
Down by Law,"Jarmusch, Jim",49
"Killing Fields, The","Joffe, Roland",6
Survival Zone,"Jones, Chris",25
Monty Python's Life of Brian,"Jones, Terry",11
Monty Python's the Meaning of Life,"Jones, Terry",33
"Red Tent, The","Kalatozov, Mikhail",7
Dakota,"Kane, Joseph",27
Viva Zapata!,"Kazan, Elia",86
"Green Berets, The","Kellogg, Ray",36
Big Bad John,"Kennedy, Burt",84
"Ticket of Leave Man, The","King, George",45
"D-Day, The Sixth of June","Koster, Henry",84
"Apprenticeship of Duddy Kravitz, The","Kotcheff, Ted",64
A Clockwork Orange,"Kubrick, Stanley",83
Full Metal Jacket,"Kubrick, Stanley",45
Sanshiro Sugata,"Kurosawa, Akira",85
Rhapsody in August,"Kurosawa, Akira",50
No Regrets for Our Youth,"Kurosawa, Akira",31
"Bad Sleep Well, The","Kurosawa, Akira",65
"Idiot, The","Kurosawa, Akira",40
Rashomon,"Kurosawa, Akira",59
Sanjuro,"Kurosawa, Akira",6
Seven Samurai,"Kurosawa, Akira",9
Throne of Blood,"Kurosawa, Akira",60
Yojimbo,"Kurosawa, Akira",60
Kagemusha,"Kurosawa, Akira",74
Ikiru,"Kurosawa, Akira",36
Empire of Spiritual Ninja,"Lambert, Bruce",26
"Ninja, the Violent Sorcerer","Lambert, Bruce",
Metropolis,"Lang, Fritz",49
Cloak & Dagger,"Lang, Fritz",55
Spiders,"Lang, Fritz",29
Human Desire,"Lang, Fritz",27
Spies,"Lang, Fritz",49
"Testament of Dr. Mabuse, The","Lang, Fritz",4
Fury,"Lang, Fritz",48
Mo' Better Blues,"Lee, Spike",78
Matt Talbot,"Lennon, Biddy W.",35
"Will Rogers, Look Back in Laughter","Leo, Malcolm",6
For a Few Dollars More,"Leone, Sergio",34
Thirty Seconds over Tokyo,"LeRoy, Mervyn",45
Class of 1984,"Lester, Mark L.",23
Juggernaut,"Lester, Richard",63
"Good Morning, Vietnam","Levinson, Barry",37
Blood on the Sun,"Lloyd, Frank",76
Paint Your Wagon,"Logan, Joshua",46
Ensign Pulver,"Logan, Joshua",16
Street People,"Lucidi, Maurizio",25
"Manhunt, The","Ludman, Larry",34
Operation Nam,"Ludman, Larry",37
"Fighting Seabees, The","Ludwig, Edward",35
Let It Rock,"Lynch, David",32
Eraserhead,"Lynch, David",2
"Ladykillers, The","Mackendrick, Alexander",28
Sweet Smell of Success,"Mackendrick, Alexander",12
And Now for Something Completely Different,"MacNaughton, Ian",44
Crackers,"Malle, Louis",17
Green Glove,"Mate, Rudolph",54
Menace on the Mountain,"McEveety, Vincent",69
In Old California,"McGann, William",27
"Thirty Is a Dangerous Age, Cynthia","McGrath, Joseph",28
Ffolkes,"McLaglen, Andrew V.",62
Chisum,"McLaglen, Andrew V.",72
"Hunt for Red October, The","McTiernan, John",8
Closely Watched Trains,"Menzel, Jiri",75
Executive Action,"Miller, David",6
Flying Tigers,"Miller, David",61
Father's Little Dividend,"Minnelli, Vincente",52
An Evening with Robin Williams,"Mischer, Don",68
Eddie Murphy Raw,"Murphy, Eddie",51
Harlem Nights,"Murphy, Eddie",11
Santee,"Nelson, Gary",47
"Good Father, The","Newell, Mike",42
Sometimes a Great Notion,"Newman, Paul",7
Catch Twenty-Two,"Nichols, Mike",50
Dark Age,"Nicholson, Arch",3
Deadline,"Nicholson, Arch",9
Mysterious Mr. Wong,"Nigh, William",71
A Month in the Country,"O'Connor, Pat",57
"Prom Night III, The Last Kiss","Oliver, Ron",29
"Blood in, Blood Out","Olmos, Edward James",88
"Wrong Arm of the Law, The","Owen, Cliff",25
Orphans,"Pakula, Alan J.",21
All the President's Men,"Pakula, Alan J.",45
J-Men Forever,"Patterson, Richard",59
"Wild Bunch, The","Peckinpah, Sam",50
Judgement in Berlin,"Penn, Leo",13
"Hot Line, The","Perier, Etienne",70
Rocket Gibraltar,"Petrie, Daniel",26
"Yakuza, The","Pollack, Sydney",16
Jeremiah Johnson,"Pollack, Sydney",88
Burn!,"Pontecorvo, Gillo",75
Magnum Force,"Post, Ted",28
Cyborg,"Pyun, Albert",31
"Prisoner of Zenda, The","Quine, Richard",12
Scream,"Quisenberry, Byron",24
"Assault, The","Rademakers, Fons",71
Flying Leathernecks,"Ray, Nicholas",23
What Comes Around,"Reed, Jerry",49
Mon Oncle D'Amerique,"Resnais, Alain",71
"Culpepper Cattle Company, The","Richards, Dick",29
"Survivors, The","Ritchie, Michael",52
Roadhouse Sixty-Six,"Robinson, John Mark",20
"Burning Poles, Cecil Taylor in Performance","Rochlin, Sheldon",82
Russkies,"Rosenthal, Rick",87
My Blue Heaven,"Ross, Herbert",63
Altered States,"Russell, Ken",22
"Cowboys, The","Rydell, Mark",58
"Code Name, Emerald","Sanger, Jonathan",22
Patton,"Schaffner, Franklin J.",8
Midnight Cowboy,"Schlesinger, John",33
"Falcon & the Snowman, The","Schlesinger, John",61
Maitresse,"Schroeder, Barbet",39
Disorderlies,"Schultz, Michael",69
Raging Bull,"Scorsese, Martin",25
Garrison Keillor's Home,"Sevush, Herb",6
Overland Stage Raiders,"Sherman, George",83
Pals of the Saddle,"Sherman, George",33
Alone in the Dark,"Sholder, Jack",75
"Beguiled, The","Siegel, Don",60
Escape from Alcatraz,"Siegel, Don",22
Criss Cross,"Siodmak, Robert",77
Midway,"Smight, Jack",36
Indiana Jones & the Last Crusade,"Spielberg, Steven",8
Duel,"Spielberg, Steven",48
Separate but Equal,"Stevens, George, Jr.",56
Gosta Berling's Saga,"Stiller, Mauritz",63
Platoon,"Stone, Oliver",8
"Crawling Hand, The","Strock, Herbert L.",79
Willy Wonka & the Chocolate Factory,"Stuart, Mel",65
Joe Kidd,"Sturges, John",79
"Santa Claus, The Movie","Szwarc, Jeannot",19
Boys Town,"Taurog, Norman",21
"Erasure, Live Wild!","Taylor, Gavin",48
A Question of Honor,"Taylor, Jud",80
Check Your Guns,"Taylor, Ray",80
West to Glory,"Taylor, Ray",43
"Throwback, The","Taylor, Ray",53
Border Feud,"Taylor, Ray",43
"Fighting Vigilantes, The","Taylor, Ray",21
Law of the Lash,"Taylor, Ray",66
Outlaw Country,"Taylor, Ray",62
Return of the Lash,"Taylor, Ray",78
Mystery of the Hooded Horsemen,"Taylor, Ray",52
Tex Rides with the Boy Scouts,"Taylor, Ray",17
Shadows of the West,"Taylor, Ray",40
Instant Karma,"Taylor, Roderick",47
Time Lock,"Thomas, Gerald",5
Appointment in Honduras,"Tourneur, Jacques",7
Danton,"Wajda, Andrzej",5
"Alamo, The","Wayne, John",29
"La Chevre, (The Goat)","Veber, Francis",24
Les Comperes,"Veber, Francis",54
Dead Poets Society,"Weir, Peter",8
"Othello, The Lost Masterpiece","Welles, Orson",23
"Battleground, The","Wellman, William",7
Kings of the Road (In the Course of Time),"Wenders, Wim",41
Hiroshima,"Werner, Peter",17
"Return of Martin Guerre, The","Vigne, Daniel",51
Somebody up There Likes Me,"Wise, Robert",56
Jack Benny Show,,51
Mutiny on the Bounty,,35
"Death Valley Days, Deadly Decision",,9
Monty Python's Flying Circus,,4
"Monty Python's Flying Circus, Vol 1.",,24
"Monty Python's Flying Circus, Vol 2.",,79
"Monty Python's Flying Circus, Vol 3.",,63
Valkenvania,,82
"Secret Policeman's Other Ball, The",,86
"Taming of the Shrew, The",,2
From Russia with Love,,6
"Offence, The",,6
Hollywood Mavericks,,22
Live at Harrah's,,6
"Persuaders, The Overture, The",,40
Nineteen Hundred,,82
"Van, The",,5
My Country Right or Wrong,,21
"Clint Eastwood Collection, The",,11
"Complete Dirty Harry, Magnum Force, The",,53
"Dead Pool, The",,26
"Good, the Bad & the Ugly, The",,68
"Rawhide, Premiere Episode",,54
Tightrope,,55
Hearts of Fire,,25
How the West Was Won,,45
"Mummy's Hand, The",,54
Great White Death,,26
"Mosquito Coast, The",,54
Today We Kill....Tomorrow We Die,,25
Tormenta Sobre Arizona,,81
Back to the Future II,,65
"Maverick, Duel at Sundown",,26
Shakespeare Series,,23
Deadly Trackers,,54
"American Film Institute, Alfred Hitchcock",,70
A Married Man,,79
Othello,,84
"Only Way Home, The",,60
Tales of Tomorrow,,0
Inherit the Wind,,18
This Is Horror,,3
Conversation Piece,,1
"Crimson Pirate, The",,60
"Devil's Disciple, The",,65
"Hallelujah Trail, The",,6
"Train, The",,68
Jay Leno: The American Dream,,67
Primal Rage,,3
"Industrial Symphony, The Dream of the Broken-Hearted",,49
Howie Mandel's North American Watusi Tour,,65
"Branford Marsalis, Steep",,52
L. A. Story,,81
Steve Martin Live!,,3
"Steve Martin, The Funnier Side of Eastern Canada",,34
"Runaway Barge, The",,38
Romulus & the Sabines,,76
"Saint, The",,29
Strange Brew,,24
Another Forty-Eight Hours,,54
"Best of Eddie Murphy, Saturday Night Live, The",,56
What about Bob?,,6
"Mummy's Revenge, The",,56
Harper,,86
"Left Handed Gun, The",,26
Once upon a Wheel,,40
"Prize, The",,66
"Secret War of Harry Frigg, The",,28
"Two Jakes, The",,3
Exile in Concert,,12
Joe Piscopo New Jersey Special,,14
"Joe Piscopo Video, The",,44
"Death Valley Days, No Gun Behind His Badge",,1
Salsa: The Motion Picture,,26
Hollywood's Greatest War Movies,,41
Out for Justice,,2
"Case of the Mukkinese Battle Horn, The",,45
"Goon Show Movie, The",,80
"Great McGonagall, The",,72
I'm All Right Jack,,23
"Magic Christian, The",,75
Never Let Go,,5
"Pink Panther, The",,77
Two-Way Stretch,,7
"Face at the Window, The",,79
Tom Thumb,,30
Beartooth,,70
James Taylor in Concert,,38
Gangbusters,,31
El Rublo de las Dos Caras,,83
"Law & Jake Wade, The",,68
Chuka,,47
Cry of the Innocent,,13
Edison the Man,,19
Keeper of the Flame,,76
"Spencer Tracy Legacy, The",,44
"Cheyenne, The Iron Trail",,1
"Dawn Rider, The",,44
"Duke, The Films of John Wayne",,70
Frontier Horizon,,73
Hell Town,,23
Hurricane Express,,7
"Hurricane Express, The",,68
In Harm's Way,,66
"John Wayne Collection, Red River, The",,49
John Wayne Collector's Limited Edition,,3
John Wayne Four Pack,,58
"John Wayne Matinee Double Feature, No. 2",,3
"John Wayne Matinee Double Feature, No. 3",,24
"John Wayne Matinee Double Feature, No. 4",,28
John Wayne Six Pack,,87
"John Wayne Western Greats, Rio Bravo",,22
King of the Pecos,,78
Lawless Frontier,,8
"Lawless Frontier, The",,35
"Lawless Nineties, The",,3
Lucky Texan,,48
McQ,,5
Neath Arizona Skies,,73
Neath the Arizona Skies,,28
Randy Rides Alone,,75
Range Feud,,77
Red River,,16
Riders of Destiny,,30
Sagebrush Trail,,23
"Shadow of the Eagle, The",,19
Blood & Guns,,43
Hot Money,,19
Comedy Tonight,,18
Robin Williams,,4
